,Unnamed: 0,City,Seattle,L.A.,The Bay Area,Philadelphia,Boston,"Washington, D.C.",Chicago,New York,Seattle ,"Washington, D.C..1"
0,0,Total number of bikes,463.0,766.0,422.0,1023.0,1802.0,4308.0,5748.0,10495.0,10000.00,2000.00
1,1,Total number of stations,55.0,63.0,37.0,103.0,172.0,400.0,568.0,572.0,0.00,0.00
2,2,Total number of docks,787.0,1302.0,717.0,1739.0,3063.0,7324.0,9772.0,17842.0,0.00,0.00
3,3,Annual trip counts,103000.0,184000.0,194000.0,499000.0,1240000.0,2560000.0,3600000.0,10300000.0,0.00,0.00
4,4,Average trip distance (km),2.03,1.97,2.5,2.72,2.75,1.63,2.74,2.69,2.03,1.63
5,5,Total trip distance (km),2080000.0,3630000.0,4830000.0,13600000.0,34000000.0,41800000.0,98400000.0,276000000.0,19000000.00,8030000.00
6,6,#bikes/km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
7,7,#stations/km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
8,8,#docks/km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
9,9,EmissionsCalculation,0.22105676923076922,0.1940827741046832,0.08130578881987577,0.07196784117647058,0.05015080323529412,0.09698683923444976,0.05567052073170732,0.03285724471014492,0.00011521684782608695,0.0016622131578947368
10,10,BikesEmmissionsCalculation,0.01422166826923077,0.013482022038567493,0.0055821076604554865,0.004805843382352942,0.00338617,0.006584644019138756,0.0037321109756097565,0.0024294403985507247,4617.8,4400.0
11,12,DocksEmissionsCalculation,0.030969206730769232,0.029357768595041325,0.012150403726708076,0.010465966911764707,0.00737372205882353,0.014341373205741628,0.008128436991869919,0.00529118731884058,0,0
12,11,StationsEmissionsCalculation,0.053066274038461536,0.03482997520661157,0.015373538302277433,0.015199088970588234,0.010152401176470587,0.019204497607655503,0.011584371544715446,0.00415916536231884,0,0
13,13,RebalanceEmissionsCalculation,0.12279962019230768,0.1164130082644628,0.04819973913043478,0.0414969419117647,0.02923851,0.05685632440191387,0.03222560121951219,0.020977451630434782,27182.05,27182.05
